# note: preview (top 1000 words, see vocab_report.csv.tar.gz for full data)
# version: 0.0.0.1
# generated_at: 2026-01-13T04:11:35.171063+00:00
# tool_version: vocab-census v0.1.0
# source_projects: 5
# total_unique_words: 84201
word,global_count,project_coverage,type
self,226152,5,identifier
assertEqual,85796,1,identifier
np,48994,3,identifier
result,39096,5,identifier
expected,32442,5,identifier
dtype,28029,3,identifier
assertRaises,27173,1,identifier
df,24142,3,identifier
pytest,23090,5,identifier
tm,20300,2,identifier
array,20102,3,identifier
parametrize,19274,4,identifier
index,18677,5,identifier
name,18664,5,identifier
data,16406,5,identifier
str,16027,5,builtin
raises,15678,5,identifier
DataFrame,15266,2,identifier
append,14758,5,identifier
assert_frame_equal,14048,2,identifier
len,13794,5,builtin
msg,13437,5,identifier
Series,12863,2,identifier
os,12699,5,identifier
ValueError,12164,5,builtin
mark,11407,5,identifier
fit,11285,2,identifier
pd,10999,3,identifier
match,10787,5,identifier
join,10302,5,identifier
assertTrue,10171,1,identifier
list,9902,5,builtin
path,9698,5,identifier
TypeError,9558,5,builtin
assert_series_equal,9533,2,identifier
copy,9403,5,identifier
range,8978,5,builtin
int,8821,5,builtin
nan,8808,3,identifier
isinstance,8605,5,builtin
value,8551,5,identifier
astype,8380,2,identifier
unittest,7976,4,identifier
values,7928,5,identifier
columns,7596,3,identifier
sys,7510,5,identifier
get,7463,5,identifier
bool,7370,5,builtin
obj,6984,5,identifier
write,6952,5,identifier
datetime,6682,5,identifier
args,6668,5,identifier
pandas,6641,2,identifier
assertFalse,6613,1,identifier
close,6349,5,identifier
assertIn,6252,1,identifier
assertIs,6102,1,identifier
freq,5984,2,identifier
ser,5924,2,identifier
key,5875,5,identifier
object,5873,5,builtin
parser,5803,3,identifier
idx,5797,4,identifier
shape,5750,3,identifier
random,5653,3,identifier
axis,5455,2,identifier
format,5444,5,identifier
assert_index_equal,5303,2,identifier
Index,5187,4,identifier
items,5147,5,identifier
arange,5142,3,identifier
res,5134,5,identifier
other,5038,5,identifier
arr,5002,3,identifier
foo,4916,5,string_constant
sklearn,4910,2,identifier
read,4680,5,identifier
text,4680,5,identifier
rng,4619,3,identifier
cls,4608,5,identifier
random_state,4587,2,identifier
type,4474,5,builtin
test,4458,5,identifier
ax,4412,3,identifier
Timestamp,4341,2,identifier
default_rng,4324,2,identifier
size,4282,4,identifier
start,4253,4,identifier
split,4101,5,identifier
n_samples,4054,1,identifier
groupby,4011,3,identifier
assertRaisesRegex,3988,1,identifier
func,3947,4,identifier
kwargs,3907,5,identifier
dict,3879,5,builtin
print,3809,4,builtin
exp,3786,3,identifier
filename,3779,5,identifier
re,3766,5,identifier
subTest,3737,1,identifier
socket,3733,3,identifier
replace,3725,5,identifier
tz,3708,4,identifier
assertIsInstance,3652,1,identifier
loop,3577,2,identifier
assert_numpy_array_equal,3576,1,identifier
out,3571,5,identifier
sum,3558,3,identifier
method,3511,5,identifier
getattr,3488,5,builtin
clf,3435,2,identifier
encode,3367,5,identifier
line,3274,4,identifier
tuple,3265,5,builtin
code,3249,5,identifier
time,3204,5,identifier
